id,customer_id,date,price
1,61,6-18-2017,13.0
2,210,5-8-2017,21.0
3,0,9-7-2017,33.0
4,66,7-7-2017,19.0
5,65,4-26-2017,13.0
6,43,6-7-2017,18.0
7,8,6-25-2017,19.0
8,104,4-8-2017,8.0
9,136,9-6-2017,32.0
10,116,4-10-2017,15.0
11,178,4-7-2017,7.0
12,164,5-5-2017,17.0
13,175,8-13-2017,24.0
14,151,9-29-2017,27.0
15,89,9-14-2017,20.0
16,170,6-14-2017,13.0
17,115,5-16-2017,10.0
18,4,5-27-2017,10.0
19,177,6-22-2017,18.0
20,0,5-29-2017,8.0
21,169,6-18-2017,18.0
22,6,7-12-2017,16.0
23,57,9-17-2017,24.0
24,56,4-29-2017,10.0
25,218,9-12-2017,32.0
26,182,6-10-2017,11.0
27,238,8-22-2017,23.0
28,28,9-16-2017,30.0
29,188,9-15-2017,32.0
30,138,6-11-2017,16.0
31,19,6-6-2017,15.0
32,27,5-4-2017,18.0
33,56,5-4-2017,25.0
34,32,8-3-2017,20.0
35,153,4-10-2017,6.0
36,137,4-29-2017,11.0
37,190,6-26-2017,17.0
38,158,8-2-2017,19.0
39,42,6-24-2017,18.0
40,145,7-21-2017,20.0
41,3,4-11-2017,10.0
42,104,9-2-2017,34.0
43,72,6-8-2017,17.0
44,194,9-22-2017,31.0
45,104,9-22-2017,25.0
46,7,5-6-2017,15.0
47,71,9-16-2017,28.0
48,106,4-14-2017,14.0
49,145,8-5-2017,21.0
50,155,5-19-2017,9.0
51,16,6-22-2017,20.0
52,226,7-7-2017,17.0
53,130,5-12-2017,16.0
54,141,9-29-2017,34.0
55,17,9-3-2017,19.0
56,190,4-17-2017,11.0
57,100,9-27-2017,30.0
58,132,4-7-2017,10.0
59,70,6-2-2017,17.0
60,205,4-12-2017,9.0
61,0,5-12-2017,16.0
62,215,4-29-2017,13.0
63,74,7-21-2017,18.0
64,127,9-18-2017,27.0
65,33,5-1-2017,13.0
66,249,7-28-2017,9.0
67,137,7-28-2017,20.0
68,166,7-29-2017,18.0
69,203,9-18-2017,34.0
70,53,8-21-2017,25.0
71,222,5-16-2017,15.0
72,172,5-15-2017,16.0
73,187,4-18-2017,12.0
74,120,4-6-2017,12.0
75,199,9-1-2017,32.0
76,106,9-27-2017,32.0
77,93,9-23-2017,36.0
78,172,8-29-2017,22.0
79,43,7-6-2017,14.0
80,3,8-12-2017,22.0
81,54,5-20-2017,22.0
82,86,6-17-2017,14.0
83,28,4-7-2017,5.0
84,165,5-16-2017,17.0
85,96,6-3-2017,11.0
86,151,5-25-2017,8.0
87,28,5-11-2017,16.0
88,118,7-7-2017,19.0
89,80,5-16-2017,12.0
90,70,7-22-2017,15.0
91,75,7-7-2017,18.0
92,73,4-12-2017,8.0
93,155,8-19-2017,18.0
94,238,5-1-2017,15.0
95,108,8-26-2017,25.0
96,229,9-6-2017,38.0
97,167,5-11-2017,13.0
98,234,5-27-2017,17.0
99,41,6-9-2017,21.0
100,163,5-20-2017,15.0
101,34,5-15-2017,14.0
102,223,4-22-2017,5.0
103,245,4-10-2017,8.0
104,51,5-8-2017,16.0
105,197,7-20-2017,15.0
106,147,5-17-2017,13.0
107,122,9-10-2017,34.0
108,5,7-21-2017,16.0
109,173,5-21-2017,18.0
110,219,7-4-2017,13.0
111,81,5-10-2017,11.0
112,242,4-6-2017,8.0
113,100,7-3-2017,20.0
114,143,4-17-2017,11.0
115,81,8-26-2017,22.0
116,166,6-18-2017,17.0
117,22,6-25-2017,14.0
118,181,4-17-2017,12.0
119,135,4-8-2017,10.0
120,118,8-26-2017,25.0
121,209,9-20-2017,31.0
122,190,6-19-2017,16.0
123,135,6-23-2017,20.0
124,239,5-23-2017,12.0
125,243,6-20-2017,19.0
126,27,4-29-2017,9.0
127,25,8-10-2017,19.0
128,173,7-22-2017,22.0
129,200,7-18-2017,20.0
130,175,8-13-2017,17.0
131,141,9-19-2017,31.0
132,0,5-17-2017,14.0
133,14,9-18-2017,27.0
134,129,6-22-2017,15.0
135,191,5-22-2017,12.0
136,46,6-18-2017,15.0
137,152,6-11-2017,13.0
138,248,6-19-2017,15.0
139,210,8-14-2017,26.0
140,96,7-20-2017,18.0
141,22,7-16-2017,18.0
142,44,8-5-2017,14.0
143,134,4-20-2017,6.0
144,63,4-11-2017,13.0
145,171,9-28-2017,20.0
146,224,4-2-2017,9.0
147,188,5-16-2017,14.0
148,200,7-27-2017,18.0
149,5,6-28-2017,15.0
150,4,8-11-2017,22.0
151,125,8-23-2017,16.0
152,15,6-27-2017,17.0
153,204,9-19-2017,25.0
154,101,5-14-2017,13.0
155,94,8-26-2017,27.0
156,239,8-18-2017,23.0
157,121,6-3-2017,16.0
158,35,9-15-2017,30.0
159,122,4-3-2017,6.0
160,204,8-4-2017,18.0
161,119,7-20-2017,17.0
162,199,4-22-2017,3.0
163,34,5-22-2017,15.0
164,237,4-7-2017,8.0
165,159,9-8-2017,28.0
166,203,4-10-2017,7.0
167,80,9-18-2017,33.0
168,125,8-1-2017,18.0
169,67,8-8-2017,13.0
170,122,8-15-2017,21.0
171,177,8-15-2017,20.0
172,233,6-11-2017,15.0
173,99,9-23-2017,33.0
174,211,5-29-2017,12.0
175,13,6-6-2017,11.0
176,145,6-2-2017,15.0
177,139,9-17-2017,33.0
178,78,7-20-2017,18.0
179,133,6-27-2017,18.0
180,223,4-19-2017,11.0
181,211,6-2-2017,16.0
182,36,9-20-2017,25.0
183,97,5-12-2017,17.0
184,164,9-23-2017,28.0
185,186,8-14-2017,15.0
186,34,7-26-2017,23.0
187,173,6-22-2017,12.0
188,162,5-29-2017,14.0
189,40,4-12-2017,15.0
190,248,6-12-2017,9.0
191,87,4-15-2017,8.0
192,239,5-18-2017,16.0
193,214,5-28-2017,20.0
194,182,9-2-2017,29.0
195,245,9-2-2017,32.0
196,240,6-16-2017,18.0
197,126,4-16-2017,10.0
198,20,6-27-2017,12.0
199,166,7-21-2017,16.0
200,68,4-9-2017,12.0
201,176,7-29-2017,20.0
202,45,6-10-2017,14.0
203,226,8-25-2017,15.0
204,140,7-27-2017,17.0
205,170,9-27-2017,33.0
206,149,8-7-2017,26.0
207,108,6-27-2017,17.0
208,104,9-22-2017,22.0
209,248,8-21-2017,31.0
210,95,7-10-2017,17.0
211,18,6-10-2017,12.0
212,194,5-10-2017,13.0
213,199,8-13-2017,20.0
214,139,8-26-2017,25.0
215,99,4-23-2017,9.0
216,42,7-7-2017,14.0
217,139,5-24-2017,14.0
218,73,7-11-2017,15.0
219,246,4-14-2017,8.0
220,136,5-19-2017,10.0
221,150,8-2-2017,28.0
222,172,7-22-2017,21.0
223,91,4-2-2017,11.0
224,18,7-12-2017,17.0
225,67,6-25-2017,16.0
226,11,4-25-2017,11.0
227,248,7-5-2017,20.0
228,117,4-23-2017,8.0
229,182,7-24-2017,21.0
230,6,4-7-2017,13.0
231,233,8-21-2017,19.0
232,108,8-4-2017,25.0
233,154,6-22-2017,10.0
234,91,5-13-2017,18.0
235,30,6-1-2017,15.0
236,22,6-28-2017,12.0
237,83,9-19-2017,31.0
238,106,5-20-2017,9.0
239,55,9-3-2017,28.0
240,109,5-10-2017,15.0
241,179,6-29-2017,19.0
242,80,9-26-2017,30.0
243,35,4-24-2017,7.0
244,120,7-9-2017,18.0
245,187,4-20-2017,11.0
246,8,8-17-2017,25.0
247,74,7-13-2017,21.0
248,113,6-16-2017,17.0
249,16,5-5-2017,15.0
250,181,5-29-2017,12.0
251,150,4-14-2017,11.0
252,221,5-12-2017,9.0
253,192,8-24-2017,18.0
254,9,9-16-2017,29.0
255,94,6-1-2017,10.0
256,138,4-16-2017,8.0
257,67,6-1-2017,10.0
258,121,5-19-2017,11.0
259,160,4-26-2017,6.0
260,219,5-26-2017,15.0
261,66,4-5-2017,7.0
262,246,4-28-2017,8.0
263,109,8-28-2017,15.0
264,108,6-20-2017,12.0
265,221,6-20-2017,13.0
266,231,4-29-2017,7.0
267,48,4-2-2017,9.0
268,179,6-3-2017,11.0
269,226,4-13-2017,10.0
270,113,9-13-2017,30.0
271,243,9-15-2017,29.0
272,186,9-24-2017,29.0
273,45,5-5-2017,13.0
274,247,9-18-2017,35.0
275,102,5-3-2017,16.0
276,47,5-5-2017,14.0
277,206,7-26-2017,14.0
278,209,4-15-2017,7.0
279,203,9-9-2017,31.0
280,237,7-29-2017,20.0
281,9,6-21-2017,18.0
282,5,6-17-2017,15.0
283,17,6-16-2017,17.0
284,181,8-6-2017,15.0
285,239,8-25-2017,26.0
286,95,4-20-2017,10.0
287,189,7-7-2017,16.0
288,20,4-2-2017,7.0
289,51,7-2-2017,14.0
290,153,7-27-2017,22.0
291,136,4-13-2017,13.0
292,112,8-22-2017,15.0
293,27,4-21-2017,11.0
294,78,9-9-2017,30.0
295,80,7-23-2017,18.0
296,119,8-6-2017,22.0
297,189,7-26-2017,17.0
298,86,7-4-2017,16.0
299,114,6-21-2017,16.0
300,142,4-13-2017,8.0
301,176,9-15-2017,31.0
302,2,4-4-2017,11.0
303,90,5-23-2017,19.0
304,34,5-5-2017,14.0
305,240,7-2-2017,14.0
306,218,7-10-2017,23.0
307,49,7-19-2017,15.0
308,131,4-8-2017,14.0
309,81,4-16-2017,10.0
310,144,9-11-2017,34.0
311,245,8-7-2017,13.0
312,43,4-6-2017,11.0
313,154,7-19-2017,20.0
314,79,5-6-2017,15.0
315,236,5-22-2017,17.0
316,53,9-2-2017,21.0
317,39,9-21-2017,33.0
318,147,7-10-2017,19.0
319,239,8-4-2017,18.0
320,142,8-12-2017,25.0
321,105,9-1-2017,20.0
322,89,4-2-2017,6.0
323,157,6-8-2017,18.0
324,207,8-3-2017,28.0
325,207,8-10-2017,25.0
326,49,4-28-2017,10.0
327,156,8-24-2017,24.0
328,116,6-4-2017,15.0
329,95,7-2-2017,22.0
330,184,8-23-2017,23.0
331,176,8-23-2017,20.0
332,83,5-24-2017,17.0
333,5,6-3-2017,15.0
334,208,7-12-2017,16.0
335,213,6-4-2017,14.0
336,104,7-22-2017,16.0
337,71,9-19-2017,30.0
338,240,7-27-2017,19.0
339,166,8-12-2017,24.0
340,146,4-14-2017,10.0
341,193,9-24-2017,22.0
342,215,6-13-2017,18.0
343,7,4-26-2017,11.0
344,234,8-15-2017,28.0
345,234,7-12-2017,17.0
346,232,5-1-2017,12.0
347,241,7-16-2017,18.0
348,178,8-15-2017,16.0
349,80,5-23-2017,16.0
350,87,6-17-2017,13.0
351,56,8-29-2017,19.0
352,41,6-25-2017,15.0
353,8,6-5-2017,12.0
354,40,4-6-2017,11.0
355,17,6-26-2017,14.0
356,169,9-25-2017,24.0
357,120,5-1-2017,16.0
358,47,7-16-2017,26.0
359,143,6-1-2017,17.0
360,244,9-22-2017,30.0
361,63,5-17-2017,17.0
362,199,7-13-2017,21.0
363,119,7-22-2017,20.0
364,128,4-16-2017,8.0
365,175,6-2-2017,9.0
366,135,4-5-2017,10.0
367,191,5-14-2017,17.0
368,3,5-29-2017,14.0
369,16,7-17-2017,15.0
370,192,6-12-2017,16.0
371,125,8-28-2017,22.0
372,161,4-23-2017,8.0
373,236,6-9-2017,9.0
374,111,6-17-2017,15.0
375,17,9-4-2017,40.0
376,35,8-10-2017,21.0
377,226,9-5-2017,35.0
378,189,6-14-2017,19.0
379,5,5-2-2017,24.0
380,112,8-20-2017,17.0
381,194,7-1-2017,22.0
382,123,6-16-2017,18.0
383,172,9-9-2017,31.0
384,207,9-17-2017,33.0
385,108,9-7-2017,33.0
386,243,5-28-2017,12.0
387,132,4-17-2017,9.0
388,95,9-29-2017,34.0
389,0,8-24-2017,12.0
390,38,6-21-2017,16.0
391,61,4-5-2017,8.0
392,35,8-15-2017,27.0
393,147,4-2-2017,8.0
394,159,4-14-2017,11.0
395,143,7-2-2017,17.0
396,115,8-18-2017,27.0
397,94,7-7-2017,15.0
398,12,5-29-2017,16.0
399,44,4-10-2017,12.0
400,54,4-7-2017,7.0
401,55,7-21-2017,15.0
402,140,8-4-2017,20.0
403,229,6-12-2017,14.0
404,12,5-2-2017,15.0
405,209,8-5-2017,18.0
406,126,9-21-2017,28.0
407,72,6-26-2017,12.0
408,230,4-9-2017,16.0
409,36,5-28-2017,9.0
410,202,5-14-2017,19.0
411,146,6-20-2017,18.0
412,206,5-22-2017,20.0
413,18,9-28-2017,24.0
414,154,9-23-2017,19.0
415,166,7-4-2017,21.0
416,210,8-10-2017,28.0
417,165,6-14-2017,14.0
418,69,9-17-2017,28.0
419,190,6-5-2017,16.0
420,172,4-29-2017,14.0
421,87,5-20-2017,13.0
422,134,4-18-2017,8.0
423,65,4-16-2017,12.0
424,17,9-22-2017,25.0
425,77,5-10-2017,10.0
426,20,8-10-2017,24.0
427,38,6-17-2017,20.0
428,97,8-18-2017,12.0
429,73,7-22-2017,17.0
430,26,5-17-2017,13.0
431,5,6-3-2017,15.0
432,85,8-6-2017,22.0
433,38,9-5-2017,24.0
434,25,7-3-2017,19.0
435,249,6-25-2017,18.0
436,21,6-18-2017,15.0
437,81,4-29-2017,8.0
438,89,9-18-2017,35.0
439,240,9-12-2017,31.0
440,101,5-26-2017,14.0
441,210,4-19-2017,11.0
442,174,7-4-2017,21.0
443,163,9-24-2017,30.0
444,185,9-11-2017,35.0
445,142,5-20-2017,18.0
446,175,6-7-2017,16.0
447,34,7-25-2017,14.0
448,231,7-15-2017,18.0
449,228,7-14-2017,18.0
450,206,7-11-2017,20.0
451,50,4-10-2017,7.0
452,166,8-7-2017,21.0
453,166,4-1-2017,12.0
454,226,4-15-2017,7.0
455,5,5-8-2017,19.0
456,148,5-27-2017,18.0
457,76,7-13-2017,18.0
458,245,5-22-2017,15.0
459,164,4-18-2017,8.0
460,53,5-23-2017,17.0
461,205,7-23-2017,20.0
462,24,7-28-2017,14.0
463,17,9-7-2017,30.0
464,11,5-1-2017,11.0
465,248,6-18-2017,14.0
466,238,8-1-2017,26.0
467,163,6-16-2017,14.0
468,25,8-6-2017,20.0
469,64,6-3-2017,12.0
470,90,5-15-2017,15.0
471,62,9-3-2017,35.0
472,9,8-6-2017,17.0
473,23,9-11-2017,35.0
474,116,9-23-2017,30.0
475,42,5-8-2017,16.0
476,226,6-29-2017,11.0
477,227,8-8-2017,26.0
478,3,7-27-2017,19.0
479,48,9-24-2017,32.0
480,197,9-10-2017,27.0
481,22,6-24-2017,19.0
482,75,7-12-2017,18.0
483,14,9-12-2017,30.0
484,63,9-1-2017,27.0
485,108,6-24-2017,19.0
486,88,7-3-2017,22.0
487,159,6-13-2017,13.0
488,241,6-8-2017,17.0
489,198,9-29-2017,33.0
490,29,8-10-2017,17.0
491,206,5-4-2017,17.0
492,131,9-18-2017,26.0
493,96,6-11-2017,16.0
494,72,8-25-2017,24.0
495,215,7-2-2017,21.0
496,152,9-29-2017,22.0
497,82,4-7-2017,13.0
498,61,9-28-2017,25.0
499,98,8-13-2017,20.0
500,145,5-19-2017,19.0
