id,name,neighborhood,cuisine
1,Jongro BBQ,Midtown,Korean
2,Pocha 32,Midtown,Korean
3,Nom Wah Tea Parlor,Chinatown,Chinese
4,Robertaâ€™s,Brooklyn,Pizza
5,Speedy Romeo,Brooklyn,Pizza
6,Buddha Bodai,Chinatown,Vegetarian
7,Nan Xiang Xiao Long Bao,Queens,Chinese
8,Mission Chinese Food,Downtown,Chinese
9,Baohaus,Downtown,Chinese
10,al di la Trattoria,Brooklyn,Italian
11,Locanda Vini & Olii,Brooklyn,Italian
12,Rao's,Uptown,Italian
13,Minca,Downtown,Japanese
14,Kenka,Downtown,Japanese
15,Yakitori Taisho,Downtown,Japanese
16,X'ian Famous Foods,Midtown,Chinese
17,Shake Shack,Midtown,American
18,Foodcademy,Midtown,American
19,Sonnyboy's,Brooklyn,Chinese
20,The Cole Romano Experience,Brooklyn,Italian
21,Timbo Slice,Brooklyn,Pizza
22,Scorpio Sisters,Downtown,American
23,N.E.D,Uptown,American
24,Great NY Noodletown,Chinatown,Chinese
25,Golden Unicorn,Chinatown,Chinese
26,Wo Hop,Chinatown,Chinese
27,Di Fara Pizza,Brooklyn,Pizza
28,Kang Ho Dong Baekjeong,Midtown,Korean
29,Jacob's Pickles,Uptown,American
30,Dan and John's Wings,Downtown,American
31,Ping's Seafood,Chinatown,Chinese
32,XO Kitchen,Chinatown,Chinese
33,Carbone,Downtown,Italian
34,I Sodi,Downtown,Italian
35,Lilia,Brooklyn,Italian
36,Jajaja,Downtown,Vegetarian
37,Smalls Jazz Club,Downtown,American
38,Russ & Daughters,Downtown,American
39,The Meatball Shop,Downtown,American
40,Dirt Candy,Downtown,Vegetarian
41,Ippudo,Midtown,Japanese
42,Marea,Midtown,Italian
43,Lighthouse,Brooklyn,American
44,Ayurveda,UWS,Vegetarian